SUBSTANCENAME,NONPROPRIETARYNAME,NDC_11,PHARM_CLASSES
Clindamycin,Clindamycin,409419701,antimicrobial
CefePIME,CefePIME,60505068104,antimicrobial
Azithromycin,Azithromycin,68084027801,antimicrobial
Levofloxacin,Levofloxacin,50458016601,antimicrobial
Levofloxacin,Levofloxacin,50458093010,antimicrobial
Nystatin Cream,Nystatin Cream,51672126302,antimicrobial
MetRONIDAZOLE (FLagyl),MetRONIDAZOLE (FLagyl),51079012620,antimicrobial
Clindamycin,Clindamycin,409405201,antimicrobial
MetroNIDAZOLE,MetroNIDAZOLE,42292000120,antimicrobial
LevoFLOXacin,LevoFLOXacin,68084048211,antimicrobial
Azithromycin,Azithromycin,59762306003,antimicrobial
Azithromycin,Azithromycin,54569452202,antimicrobial
Levofloxacin,Levofloxacin,904635361,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,69095050,antimicrobial
Amoxicillin-Clavulanic Acid,Amoxicillin-Clavulanic Acid,43598020451,antimicrobial
Miconazole Powder 2%,Miconazole Powder 2%,145150605,antimicrobial
Ampicillin-Sulbactam,Ampicillin-Sulbactam,63323036920,antimicrobial
Levofloxacin,Levofloxacin,45152010,antimicrobial
Levofloxacin,Levofloxacin,50458092510,antimicrobial
Levofloxacin,Levofloxacin,50458092010,antimicrobial
Nystatin Oral Suspension,Nystatin Oral Suspension,472500360,antimicrobial
Sulfameth/Trimethoprim DS,Sulfameth/Trimethoprim DS,68084023001,antimicrobial
CefePIME,CefePIME,60505083404,antimicrobial
Miconazole Powder 2%,Miconazole Powder 2%,64065001,antimicrobial
Amoxicillin,Amoxicillin,143993801,antimicrobial
MetRONIDAZOLE (FLagyl),MetRONIDAZOLE (FLagyl),68084096601,antimicrobial
Amoxicillin,Amoxicillin,93310793,antimicrobial
MetroNIDAZOLE,MetroNIDAZOLE,904145361,antimicrobial
Nystatin Oral Suspension,Nystatin Oral Suspension,66689003750,antimicrobial
Miconazole Powder 2%,Miconazole Powder 2%,11017025030,antimicrobial
Piperacillin-Tazobactam,Piperacillin-Tazobactam,206885216,antimicrobial
MetRONIDAZOLE (FLagyl),MetRONIDAZOLE (FLagyl),51079021720,antimicrobial
Linezolid,Linezolid,9513503,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,63323013011,antimicrobial
Clindamycin,Clindamycin,63739005910,antimicrobial
Fosfomycin Tromethamine,Fosfomycin Tromethamine,456430001,antimicrobial
Linezolid,Linezolid,9514001,antimicrobial
Mupirocin Nasal Ointment 2%,Mupirocin Nasal Ointment 2%,29152611,antimicrobial
Mupirocin Cream 2%,Mupirocin Cream 2%,29152725,antimicrobial
CefazoLIN,CefazoLIN,409080601,antimicrobial
Levofloxacin,Levofloxacin,68084048301,antimicrobial
Ampicillin Sodium,Ampicillin Sodium,63323039923,antimicrobial
Minocycline,Minocycline,591569401,antimicrobial
Sulfameth/Trimethoprim DS,Sulfameth/Trimethoprim DS,49999064990,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,50268027815,antimicrobial
Ampicillin,Ampicillin,54868311105,antimicrobial
Piperacillin-Tazobactam,Piperacillin-Tazobactam,206885516,antimicrobial
Clindamycin,Clindamycin,409405101,antimicrobial
Nystatin Cream,Nystatin Cream,49999025130,antimicrobial
Levofloxacin,Levofloxacin,45006801,antimicrobial
Clindamycin,Clindamycin,51079059820,antimicrobial
Voriconazole,Voriconazole,51079016503,antimicrobial
Posaconazole,Posaconazole,85432402,antimicrobial
Levofloxacin,Levofloxacin,25021013282,antimicrobial
Doxycycline Hyclate,Doxycycline Hyclate,60687011821,antimicrobial
Azithromycin,Azithromycin,25021011210,antimicrobial
Miconazole 2% Cream,Miconazole 2% Cream,51672200102,antimicrobial
Nystatin Ointment,Nystatin Ointment,168000715,antimicrobial
Levofloxacin,Levofloxacin,45006601,antimicrobial
Cefpodoxime Proxetil,Cefpodoxime Proxetil,63304052020,antimicrobial
Moxifloxacin,Moxifloxacin,85173302,antimicrobial
Azithromycin,Azithromycin,69306086,antimicrobial
Terbinafine 1% Cream,Terbinafine 1% Cream,67810012,antimicrobial
Miconazole 2% Cream,Miconazole 2% Cream,59390006717,antimicrobial
CefTAZidime,CefTAZidime,781317796,antimicrobial
Sulfameth/Trimethoprim SS,Sulfameth/Trimethoprim SS,93008801,antimicrobial
Nystatin Oral Suspension,Nystatin Oral Suspension,121478505,antimicrobial
Clindamycin,Clindamycin,9337502,antimicrobial
Levofloxacin,Levofloxacin,25021013283,antimicrobial
Amoxicillin-Clavulanate Susp.,Amoxicillin-Clavulanate Susp.,29609039,antimicrobial
Miconazole Nitrate Vag Cream 2%,Miconazole Nitrate Vag Cream 2%,472073041,antimicrobial
Ampicillin-Sulbactam,Ampicillin-Sulbactam,63323036820,antimicrobial
